478.34,269.082
2346.32,608.375
2585.44,661.47
2115.17,1160.88
1956.64,1741.5
2926.1,352.348
1641.82,1688.24
2656.49,1047.16
1857.68,1642.87
1944.03,1771.55
2548.21,811.345
1800.26,1588.15
2384.24,1172.82
2349.49,1368.01
1273,1719.53
962.393,1750.06
2480.19,509.987
1969.51,1564.65
1983.36,1251.26
915.162,1744.99
1466.91,1203.06
1258.82,1413.02
672.213,1685.7
2940.92,1222.72
2933.61,549.482
1653.75,511.518
2096.31,1518.75
2882.1,447.267
1848.01,643.511
1293.78,1205.3
2466.59,1333.23
2355.67,1837.05
2713.29,1809.44
35.3399,701.494
2023.67,925.331
1875.74,1705.86
432.494,1580.5
2494.76,1593.51
2399.22,1375.47
1802.91,1560.76
1300.96,1645.96
1764,660
511.52,1130.51
1659.53,1109.51
2553.93,1195.34
2750.29,1430.13
1485,1779
2269.42,1572.67
1622.3,782.654
1480.82,1357.61
2357.8,1450.6
2872,1655
